n_done,prompt_idx,seq_len,n_valid_positions,elapsed_s,identity_distance,mean_rel_change
305,304,128,111,1.479,0.522372,0.00286722
306,305,128,111,1.490,0.522454,0.00321909
307,306,128,111,1.498,0.522555,0.00353562
308,307,128,111,1.486,0.522608,0.00282794
309,308,128,111,1.494,0.522672,0.00340199
310,309,128,111,1.496,0.522744,0.00297565
311,310,128,111,1.585,0.522822,0.00421174
312,311,128,111,1.501,0.522852,0.00323339
313,312,128,111,1.481,0.522927,0.00297765
314,313,128,111,1.489,0.522950,0.00381929
315,314,128,111,1.502,0.522905,0.00276024
316,315,128,111,1.522,0.522873,0.00227336
317,316,128,111,1.497,0.522833,0.00285687
318,317,128,111,1.497,0.522823,0.00293514
319,318,128,111,1.488,0.522874,0.00312816
320,319,128,111,1.489,0.522864,0.00231794
321,320,128,111,1.495,0.522805,0.00245107
322,321,128,111,1.496,0.522840,0.00268622
323,322,128,111,1.484,0.522771,0.00259447
324,323,128,111,1.485,0.522790,0.00301638
325,324,128,111,1.491,0.522864,0.00323245
326,325,128,111,1.492,0.522815,0.00296269
327,326,128,111,1.586,0.522767,0.00349481
328,327,128,111,1.499,0.522783,0.00443055
329,328,128,111,1.587,0.522762,0.00354000
330,329,128,111,1.502,0.522816,0.00274478
331,330,128,111,1.476,0.522766,0.00230686
332,331,128,111,1.580,0.522712,0.00197768
333,332,128,111,1.501,0.522656,0.00244468
334,333,128,111,1.487,0.522556,0.00249340
335,334,128,111,1.492,0.522511,0.00217768
336,335,128,111,1.491,0.522417,0.00223273
337,336,128,111,1.498,0.522387,0.00288513
338,337,128,111,1.481,0.522566,0.00405057
339,338,128,111,1.498,0.522630,0.00321170
340,339,128,111,1.485,0.522649,0.00279216
341,340,128,111,1.489,0.522806,0.00345820
342,341,128,111,1.501,0.522909,0.00467370
343,342,128,111,1.506,0.522923,0.00289232
344,343,128,111,1.494,0.522924,0.00295973
345,344,128,111,1.492,0.522872,0.00259353
346,345,128,111,1.484,0.522889,0.00267253
347,346,128,111,1.487,0.522897,0.00320651
348,347,128,111,1.489,0.522887,0.00223161
349,348,128,111,1.494,0.522821,0.00241029
350,349,128,111,1.499,0.522850,0.00408906
351,350,128,111,1.513,0.522907,0.00237186
352,351,128,111,1.498,0.522896,0.00292719
353,352,128,111,1.486,0.523087,0.00298021
354,353,128,111,1.496,0.523068,0.00266597
355,354,128,111,1.495,0.522979,0.00266220
356,355,128,111,1.510,0.522973,0.00229740
357,356,128,111,1.497,0.523000,0.00281202
358,357,128,111,1.489,0.523056,0.00231393
359,358,128,111,1.494,0.523149,0.00257924
360,359,128,111,1.490,0.523189,0.00223738
361,360,128,111,1.491,0.523370,0.00343032
362,361,128,111,1.587,0.523363,0.00230331
363,362,128,111,2.095,0.523311,0.00231146
364,363,128,111,1.591,0.523337,0.00269300
365,364,128,111,1.495,0.523407,0.00275293
366,365,128,111,1.490,0.523489,0.00289623
367,366,128,111,1.492,0.523535,0.00263344
368,367,128,111,1.496,0.523531,0.00241402
369,368,128,111,1.587,0.523593,0.00288610
370,369,128,111,1.493,0.523589,0.00257087
371,370,128,111,1.495,0.523603,0.00256666
372,371,128,111,1.792,0.523542,0.00175545
373,372,128,111,1.687,0.523633,0.00319952
374,373,128,111,1.491,0.523692,0.00340766
375,374,128,111,1.492,0.523706,0.00286632
376,375,128,111,1.493,0.523665,0.00200826
377,376,128,111,1.488,0.523637,0.00240702
378,377,128,111,1.499,0.523574,0.00187704
379,378,128,111,1.492,0.523517,0.00208028
380,379,128,111,1.497,0.523429,0.00204217
381,380,128,111,1.659,0.523372,0.00210075
382,381,128,111,1.888,0.523398,0.00240517
383,382,128,111,1.502,0.523336,0.00214205
384,383,128,111,1.518,0.523396,0.00238806
385,384,128,111,1.496,0.523408,0.00186621
386,385,128,111,1.495,0.523379,0.00227751
387,386,128,111,1.502,0.523360,0.00327473
388,387,128,111,1.485,0.523491,0.00224139
389,388,128,111,1.493,0.523587,0.00257185
390,389,128,111,1.493,0.523689,0.00315095
391,390,128,111,1.499,0.523696,0.00266649
392,391,128,111,1.494,0.523701,0.00201773
393,392,128,111,1.489,0.523702,0.00255288
394,393,128,111,1.500,0.523675,0.00235793
395,394,128,111,1.599,0.523773,0.00296193
396,395,128,111,1.500,0.523728,0.00247648
397,396,128,111,1.685,0.523639,0.00195478
398,397,128,111,1.697,0.523635,0.00243143
399,398,128,111,1.902,0.523544,0.00225945
400,399,128,111,1.494,0.523494,0.00190472
401,400,128,111,1.516,0.523439,0.00183870
402,401,128,111,1.493,0.523473,0.00281261
403,402,128,111,1.492,0.523428,0.00248774
404,403,128,111,1.483,0.523377,0.00229864
405,404,128,111,1.490,0.523395,0.00198302
406,405,128,111,1.495,0.523463,0.00233861
407,406,128,111,1.493,0.523442,0.00215965
408,407,128,111,1.487,0.523532,0.00311072
409,408,128,111,1.497,0.523444,0.00263805
410,409,128,111,1.578,0.523504,0.00309006
411,410,128,111,1.686,0.523419,0.00255983
412,411,128,111,1.499,0.523329,0.00192335
413,412,128,111,1.586,0.523276,0.00180093
